                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0433,                  3.064,                 1.4419,                0.25765,                0.37772,                0.19691,                0.12262,                 1.0277,                  3.014,                 1.4526,               0.067328,             3.2704e-05,             3.2704e-05
                      1,                0.95941,                 2.4453,                 1.4139,                0.50445,                0.34937,                0.32902,                0.22593,                0.99943,                 2.5356,                 1.4432,               0.034028,             6.5711e-05,             6.5711e-05
                      2,                0.87762,                 1.8551,                 1.3734,                 0.5858,                0.54976,                0.53466,                0.37666,                0.94401,                 2.0621,                 1.4073,             0.00072732,             9.8387e-05,             9.8387e-05
                      3,                0.81606,                 1.4924,                 1.3532,                0.64097,                0.58537,                0.63052,                0.45381,                0.95007,                 1.6985,                 1.4353,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      4,                0.80492,                 1.2482,                 1.3118,                0.68241,                0.65257,                0.67271,                0.49047,                0.94989,                 1.5453,                 1.4373,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      5,                0.77773,                 1.1394,                 1.3245,                0.80431,                0.64246,                  0.744,                0.55589,                0.92402,                 1.4067,                 1.3951,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                0.75777,                0.98888,                  1.274,                0.78572,                0.71227,                0.76304,                0.57301,                0.90689,                 1.2836,                 1.3827,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                0.73855,                0.91417,                 1.2647,                0.83658,                0.71185,                0.77943,                 0.5861,                0.91421,                 1.2102,                 1.3953,              9.703e-05,              9.703e-05,              9.703e-05
                      8,                0.73331,                0.84626,                 1.2632,                0.81464,                0.72695,                0.79733,                0.61307,                0.87747,                 1.1218,                 1.3477,             9.6535e-05,             9.6535e-05,             9.6535e-05
                      9,                0.71573,                0.77745,                 1.2434,                0.83714,                0.71998,                0.80009,                0.61348,                0.87691,                 1.0997,                 1.3381,              9.604e-05,              9.604e-05,              9.604e-05
                     10,                0.70968,                0.76301,                 1.2388,                0.83768,                0.72659,                0.81659,                0.63567,                0.86011,                 1.0512,                 1.3302,             9.5545e-05,             9.5545e-05,             9.5545e-05
                     11,                0.67386,                0.70027,                  1.196,                0.86479,                0.72524,                0.82115,                0.63991,                0.85218,                 1.0011,                 1.3186,              9.505e-05,              9.505e-05,              9.505e-05
                     12,                0.68356,                0.68377,                  1.198,                0.88167,                 0.6984,                0.81865,                0.64154,                0.84754,                0.97564,                 1.3131,             9.4555e-05,             9.4555e-05,             9.4555e-05
                     13,                0.64411,                0.66252,                  1.187,                0.83778,                0.71272,                0.81256,                0.63394,                0.86038,                 1.0059,                 1.3267,              9.406e-05,              9.406e-05,              9.406e-05
                     14,                0.66645,                0.63955,                 1.1966,                 0.8498,                0.75215,                0.83516,                0.65456,                0.83887,                 0.9421,                 1.2993,             9.3565e-05,             9.3565e-05,             9.3565e-05
                     15,                 0.6319,                0.61532,                 1.1647,                0.86204,                0.73518,                0.83545,                0.65574,                0.83988,                0.92203,                 1.3075,              9.307e-05,              9.307e-05,              9.307e-05
                     16,                0.63384,                0.59335,                 1.1813,                0.86803,                0.74552,                0.83441,                0.64693,                0.84591,                0.89965,                 1.3125,             9.2575e-05,             9.2575e-05,             9.2575e-05
                     17,                0.64593,                0.57255,                 1.1818,                0.84403,                0.73125,                0.83437,                 0.6493,                0.84893,                0.92781,                 1.3102,              9.208e-05,              9.208e-05,              9.208e-05
                     18,                0.64863,                0.59635,                 1.1874,                 0.8335,                0.74714,                 0.8469,                 0.6592,                 0.8544,                0.89195,                 1.3117,             9.1585e-05,             9.1585e-05,             9.1585e-05
                     19,                 0.6389,                0.57256,                 1.1819,                0.86403,                0.71591,                0.83573,                0.65825,                0.84677,                0.91127,                 1.3028,              9.109e-05,              9.109e-05,              9.109e-05
                     20,                0.63945,                0.54501,                 1.1688,                0.85488,                0.76547,                0.85056,                0.66639,                0.83197,                0.86205,                 1.2862,             9.0595e-05,             9.0595e-05,             9.0595e-05
                     21,                 0.6111,                0.54397,                  1.143,                0.83927,                0.75165,                0.84767,                0.66618,                 0.8192,                0.88779,                 1.2688,               9.01e-05,               9.01e-05,               9.01e-05
                     22,                0.60792,                0.51777,                 1.1388,                0.85468,                0.73024,                0.83489,                0.66058,                0.83056,                0.89358,                 1.2862,             8.9605e-05,             8.9605e-05,             8.9605e-05
                     23,                0.63281,                0.52638,                 1.1668,                0.84479,                0.75059,                0.84507,                0.66587,                0.82829,                0.85488,                 1.2806,              8.911e-05,              8.911e-05,              8.911e-05
                     24,                0.63146,                0.51916,                 1.1498,                0.85906,                0.73566,                0.84751,                0.66698,                 0.8185,                0.86661,                 1.2713,             8.8615e-05,             8.8615e-05,             8.8615e-05
                     25,                0.62521,                0.51608,                 1.1605,                0.84259,                0.75069,                0.84804,                0.66982,                0.81731,                0.85387,                 1.2662,              8.812e-05,              8.812e-05,              8.812e-05
                     26,                0.58944,                0.49027,                 1.1312,                0.85884,                0.75209,                0.85192,                0.67637,                0.81747,                0.86582,                 1.2661,             8.7625e-05,             8.7625e-05,             8.7625e-05
                     27,                0.60081,                0.48333,                 1.1316,                0.82664,                0.77543,                0.85433,                0.67988,                0.81308,                0.84389,                 1.2595,              8.713e-05,              8.713e-05,              8.713e-05
                     28,                0.60943,                 0.4941,                 1.1463,                0.83178,                0.75292,                0.84877,                0.67624,                0.82078,                0.84967,                 1.2628,             8.6635e-05,             8.6635e-05,             8.6635e-05
                     29,                0.60628,                0.47905,                 1.1536,                0.85194,                0.74487,                0.85291,                0.67726,                 0.8195,                0.83882,                  1.261,              8.614e-05,              8.614e-05,              8.614e-05
                     30,                0.59647,                0.46818,                  1.137,                0.83583,                 0.7731,                0.85361,                0.67598,                0.80657,                0.83033,                 1.2577,             8.5645e-05,             8.5645e-05,             8.5645e-05
                     31,                0.59133,                0.46471,                 1.1273,                0.85411,                0.76826,                0.85677,                0.68272,                0.80221,                0.81584,                  1.249,              8.515e-05,              8.515e-05,              8.515e-05
                     32,                0.59097,                0.46673,                 1.1351,                0.90156,                0.71326,                 0.8459,                0.67695,                0.81527,                0.83597,                 1.2555,             8.4655e-05,             8.4655e-05,             8.4655e-05
                     33,                0.59063,                0.46533,                 1.1281,                0.84433,                0.76543,                0.85791,                 0.6855,                0.79439,                0.82608,                 1.2445,              8.416e-05,              8.416e-05,              8.416e-05
                     34,                0.60441,                0.45826,                 1.1317,                0.82103,                0.79235,                 0.8631,                0.68949,                0.79746,                0.80033,                 1.2466,             8.3665e-05,             8.3665e-05,             8.3665e-05
                     35,                0.57483,                0.42752,                 1.1064,                0.88328,                0.74097,                0.84875,                0.67768,                0.81343,                0.85176,                 1.2595,              8.317e-05,              8.317e-05,              8.317e-05
                     36,                0.59968,                0.45847,                 1.1182,                0.88431,                0.73729,                   0.86,                0.68798,                0.80437,                0.81572,                 1.2363,             8.2675e-05,             8.2675e-05,             8.2675e-05
                     37,                0.58802,                   0.44,                 1.1208,                0.88065,                0.73617,                0.86045,                 0.6864,                0.80058,                0.79995,                 1.2344,              8.218e-05,              8.218e-05,              8.218e-05
                     38,                0.58209,                0.43984,                 1.1096,                0.82701,                0.78562,                0.86507,                0.69385,                0.79326,                0.78762,                 1.2235,             8.1685e-05,             8.1685e-05,             8.1685e-05
                     39,                0.58902,                0.43222,                 1.1034,                0.88721,                0.73923,                0.86013,                0.68337,                 0.7931,                0.78973,                 1.2305,              8.119e-05,              8.119e-05,              8.119e-05
                     40,                0.57499,                0.42908,                 1.1204,                 0.8444,                0.77801,                0.86474,                 0.6907,                 0.7847,                0.76944,                 1.2179,             8.0695e-05,             8.0695e-05,             8.0695e-05
                     41,                0.58622,                 0.4207,                 1.1195,                0.88944,                0.74822,                   0.86,                0.68908,                0.78813,                0.77588,                 1.2157,               8.02e-05,               8.02e-05,               8.02e-05
                     42,                0.56061,                0.42534,                  1.105,                0.87307,                0.75522,                0.85649,                0.68189,                 0.8001,                0.79484,                 1.2367,             7.9705e-05,             7.9705e-05,             7.9705e-05
                     43,                0.56479,                 0.4247,                 1.1102,                0.83638,                 0.7857,                0.86313,                0.69211,                0.78969,                0.77893,                  1.222,              7.921e-05,              7.921e-05,              7.921e-05
                     44,                0.57048,                0.40207,                 1.1062,                0.84179,                0.77404,                0.86529,                0.69783,                0.79484,                0.77875,                  1.223,             7.8715e-05,             7.8715e-05,             7.8715e-05
                     45,                0.58534,                0.42548,                 1.1116,                0.84292,                0.78295,                0.86081,                0.69098,                0.79445,                0.79073,                 1.2241,              7.822e-05,              7.822e-05,              7.822e-05
