                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1025,                 2.9826,                 1.4555,                0.39449,                0.82706,                0.47625,                0.39867,                0.72942,                 2.3295,                 1.0451,               0.067366,             3.2667e-05,             3.2667e-05
                      1,                 1.0404,                 1.9745,                 1.4149,                 0.4959,                0.94636,                0.62396,                0.52974,                0.65872,                 1.7153,                 1.0147,               0.034066,             6.5673e-05,             6.5673e-05
                      2,                0.98815,                 1.5701,                 1.3769,                0.49173,                0.94785,                0.65842,                0.56187,                0.60934,                 1.4665,                0.99197,             0.00076502,              9.835e-05,              9.835e-05
                      3,                0.90867,                 1.3518,                 1.2861,                0.54147,                0.88957,                0.72389,                0.61119,                0.62162,                 1.3014,                0.98416,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      4,                0.81327,                 1.1716,                 1.1938,                0.63002,                0.83802,                0.78152,                0.67044,                0.60148,                 1.0276,                 0.9681,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      5,                0.80312,                 1.0462,                 1.1801,                0.62312,                0.83436,                0.75683,                 0.6448,                0.58336,                 1.0939,                0.95777,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                0.76875,                0.92563,                 1.1523,                0.73377,                0.82666,                0.85986,                 0.7328,                0.57677,                0.83752,                0.94992,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                0.74004,                 0.8346,                 1.1338,                0.72213,                0.90576,                0.89619,                0.76189,                0.57136,                0.72791,                0.94485,              9.703e-05,              9.703e-05,              9.703e-05
                      8,                0.70708,                0.79277,                 1.1171,                0.74663,                 0.9342,                0.93039,                0.79239,                0.57007,                0.64498,                0.94385,             9.6535e-05,             9.6535e-05,             9.6535e-05
                      9,                0.68483,                0.70974,                 1.0988,                0.90125,                0.80191,                0.94932,                0.81196,                0.56521,                0.59186,                0.94097,              9.604e-05,              9.604e-05,              9.604e-05
