                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5537,                   1.32,                 2.1289,                 1.0372,                0.94237,                0.94882,                0.98123,                0.94248,                0.94237,                0.94882,                0.98123,                0.89319,                0.27545,                0.63776,                0.68707,                0.79041,               0.070265,              0.0033038,              0.0033038
                      1,                0.41678,                0.67434,                0.79136,                0.93766,                0.95935,                0.96096,                0.98891,                0.95355,                0.95935,                0.96096,                0.98869,                0.93412,                0.26687,                0.48249,                0.39515,                 0.7875,                 0.0402,              0.0065715,              0.0065715
                      2,                 0.4588,                0.67167,                 0.7106,                  0.949,                0.90624,                0.95804,                0.98779,                0.91882,                0.90624,                0.95804,                0.98779,                 0.9294,                0.38834,                0.51118,                0.55756,                  0.857,               0.010068,              0.0097731,              0.0097731
                      3,                0.50671,                0.75412,                0.67317,                0.96785,                0.94392,                 0.9614,                0.98022,                0.90713,                0.94727,                0.96005,                0.98101,                0.89497,                0.38396,                0.62323,                0.49164,                0.86263,               0.009703,               0.009703,               0.009703
                      4,                0.51523,                0.76993,                0.65674,                0.99279,                0.95747,                0.94205,                 0.9806,                0.90417,                0.95747,                0.94205,                0.97934,                0.89463,                0.38643,                0.58586,                0.48718,                0.89967,               0.009703,               0.009703,               0.009703
                      5,                0.50339,                0.75499,                0.62984,                0.97552,                0.94688,                0.94541,                0.97004,                0.91288,                0.95035,                0.94835,                0.96928,                0.88653,                0.36043,                0.64155,                0.48535,                0.85007,               0.009604,               0.009604,               0.009604
                      6,                0.50927,                0.72812,                0.59976,                0.98304,                0.97823,                0.95063,                0.98488,                0.91136,                0.97823,                0.95063,                0.98065,                0.88947,                0.39049,                0.70501,                 0.4155,                0.89113,               0.009505,               0.009505,               0.009505
                      7,                0.49953,                0.76041,                0.57551,                0.98146,                0.89452,                0.94841,                0.96609,                0.85967,                0.92796,                0.89405,                0.94226,                0.69005,                0.52602,                 1.6452,                0.63089,                 1.0258,               0.009406,               0.009406,               0.009406
                      8,                0.49802,                0.74751,                0.58216,                 0.9911,                0.92749,                0.93646,                0.97086,                0.89714,                0.92749,                0.93646,                0.97086,                0.88195,                0.38794,                0.64653,                0.47931,                0.90311,               0.009307,               0.009307,               0.009307
                      9,                0.47597,                0.71104,                0.55215,                 0.9751,                 0.9487,                0.96251,                0.98461,                0.92901,                 0.9487,                0.96251,                0.98415,                0.90594,                0.35906,                0.61794,                0.39456,                0.86188,               0.009208,               0.009208,               0.009208
